equipment_code,site_code,line_code,equipment_name,equipment_type,area_type,line_class_code,rated_power_kw,commissioning_date,entity_origin,data_class,notes
SITE-CZ-01-L01-BLW,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Blow Moulder,BLOW_MOULDER,PROCESS,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L01-AIR,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L01-FIL,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Filler / Capper,FILLER_CAPPER,PROCESS,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L01-INS,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L01-LAB,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Labeller,LABELLER,PACKAGING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L01-PKR,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L01-CNV,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L01-PAL,SITE-CZ-01,SITE-CZ-01-L01,SITE-CZ-01-L01 Palletiser,PALLETISER,END_OF_LINE,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L02-BLW,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Blow Moulder,BLOW_MOULDER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L02-AIR,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L02-FIL,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L02-INS,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L02-LAB,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Labeller,LABELLER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L02-PKR,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
